Hour,Day_Type,Global_active_power_mean,Global_active_power_std,Total_Sub_metering_mean
0,Weekday,0.5431768352274016,0.4890164229040217,9.053022406780041
0,Weekend,0.7719545751246686,0.7574661100708495,12.866168055764906
1,Weekday,0.4652091298803522,0.4116837130743094,7.753589998183743
1,Weekend,0.6129765791448466,0.6140627092106441,10.21635560724922
2,Weekday,0.4307303924570082,0.38504574863829155,7.178866996605141
2,Weekend,0.552136074276094,0.5562223632104628,9.202455582382276
3,Weekday,0.4130717063035865,0.36890339398867406,6.884621955643702
3,Weekend,0.515644284420175,0.5106040616537083,8.594107975216701
4,Weekday,0.4276645694521709,0.3912276484800131,7.127892740976993
4,Weekend,0.4736491919942417,0.47032757124085794,7.894334162625708
5,Weekday,0.4378778696457584,0.4067521316004004,7.298093787025266
5,Weekend,0.5047368260098185,0.509796956307002,8.412428633305188
6,Weekday,0.8354317091102946,0.9015218078532041,13.923910423540393
6,Weekend,0.5690323927107516,0.6099042937491476,9.483962352850721
7,Weekday,1.648414116900625,0.9803058170037495,27.473667164083107
7,Weekend,0.9139223000740611,0.9146754766337433,15.232206930081329
8,Weekday,1.3932418528653194,0.7167546308050927,23.220781182314827
8,Weekend,1.0621832699434754,0.8962954059261379,17.70323910528094
9,Weekday,1.2095012714927895,0.601014165772697,20.15842376404789
9,Weekend,1.0464599274848159,0.7543092330952492,17.441054368764195
10,Weekday,1.1131391805511959,0.617533461588195,18.55245608997273
10,Weekend,1.033817538252101,0.7022838332618567,17.230395382327796
11,Weekday,1.0132962231341975,0.6433820060265442,16.888339529055038
11,Weekend,0.998818186264379,0.6921794233452129,16.647032720047285
12,Weekday,0.9329834235417903,0.6708359747515473,15.549812694737684
12,Weekend,1.000678720583081,0.7292685850078059,16.678025166389332
13,Weekday,0.8107363593189811,0.6260171711096904,13.512337734559901
13,Weekend,1.0682933633537792,0.708959338359546,17.80495646580875
14,Weekday,0.7208417778405004,0.5916704199026914,12.014223883908214
14,Weekend,1.003827522071073,0.7054297745478492,16.73057566024888
15,Weekday,0.678413566742731,0.5710313879513658,11.307024065778196
15,Weekend,0.9180040213555316,0.6878757018384025,15.30010250035946
16,Weekday,0.6888357169699484,0.5918944613827753,11.480679034926276
16,Weekend,0.9527556607123345,0.7233651613910667,15.87972694684843
17,Weekday,0.773088114637472,0.6798534564775749,12.884890796310334
17,Weekend,1.1349470578926013,0.8532434185394433,18.915845849297426
18,Weekday,0.9996164497736866,0.8265775055748947,16.660467399609754
18,Weekend,1.3377076219500834,1.027318268412376,22.29535794801348
19,Weekday,1.3249830713340782,0.9636886486789057,22.0831577860824
19,Weekend,1.4792236548270095,1.0442788891771548,24.65391862347158
20,Weekday,1.4614233858028403,0.9664520864826115,24.357120722190835
20,Weekend,1.4868025393524358,1.048460127705632,24.780105048538676
21,Weekday,1.4540068679015792,0.9430384536791838,24.233689885836093
21,Weekend,1.4648048987663465,1.032980245412839,24.41357156361265
22,Weekday,1.0998501697450516,0.7775368788442301,18.330975930681742
22,Weekend,1.2085954733596722,0.8840060611670011,20.14335955667232
23,Weekday,0.6981391812010521,0.599443961062802,11.635760923306075
23,Weekend,0.9646927474836354,0.8490013664260561,16.078291081830127
